txid,timestamp,input_address,output_address,amount_btc,fee_btc,num_inputs,num_outputs,block_height,ip_address,is_new_address_out,tx_per_hour_sender,is_illicit
7ff55407699d0406659ac10aed269f20f77a2de323cb501fa498cdcb02c18477,2025-12-13T11:02:11,bc1h8FiM94Tv3gLVunDtPbFEjWeWzUjeM1WciRUih,bc1t5nwypshQNFWqu87T7NfWsf9e7X66JQsTnm67T,1.86336488,0.02128818,3,1,887975,192.165.148.96,1,4,0
37d0230ed5f8ecfcdc894c045fdf93820beaa300fe8e018c70fbf6a51069e2db,2025-04-05T13:50:30,bc14hdGNJRcgtB1o4zHnrF3fvjRVaSq2sNgSCtHTJ,bc1RQ3Nqfn6tynaHaivrPwp89nMBdwQGCD24NToVV,0.0436441,0.000212,1,1,876721,82.60.73.131,0,5,0
8038a4c1db6efaea693d4ffa742a5fc74a2197febcf4aca231da3b8d42bf3f06,2025-01-03T14:03:33,bc1uMhQGoZ7L94fexgfapYpDdH9Qs3FP5MFqydU22,bc1eUDALEu17jJGHmpx1WXfEMghJ9wLV7NArrPDap,0.39430817,0.00327642,3,1,870171,228.61.158.11,0,8,1
f9f1103da9c905fbb63e62aebc5752883e0575f4b0c2529408a3ae109a3060df,2025-02-08T03:18:42,bc1F67JUpuZZ7q8XHpbFweHQ6yPu3XjptY4PTTZeE,bc1mXBUJkwXqRXwdNkuThsHeWyLBW3wobNL8ZnctP,0.0262637,0.00056017,12,25,882379,48.239.152.86,1,37,0
3777cb6c19aae256e99203c1639d3aea52d94828c31a6aa0c00939737d4c4d63,2025-09-17T12:24:36,bc1AJZXxsvityivZHEF4rWRV9pMR5jpEePUX2F5yY,bc1FuJiY28Lm7xG8jLeorayboX5pUi2Bgnte3P8jG,0.04708772,0.00130129,1,10,897973,36.74.119.62,1,22,1
5a6eca772ba8d2e86aa5cbfc330e2ed7aabc8aa8a57f76b5b66d9c17a83f3f53,2025-07-28T05:35:50,bc18jk668dVFAXhAyYeTP8PfGyZftPV88gP5sjrUg,bc16q7oWoEhT3NvA8q6BjVGFYXpCdM53JfRj6WfX7,1.48100571,0.01220629,1,1,876364,135.242.216.205,0,3,0
6fcdc181746218aec93acada169e64cdb803672da8735c49c18cfa96d9f80fed,2025-12-21T15:45:02,bc1WbkhEsfY3qrDtSaBAAyHrtBCiaPznfqqGs8eLU,bc1ZE9YhQwo8VVs9Yoji563m4sPfjQ3ubsmxQC8Hm,0.03345018,0.00103208,8,10,874005,87.26.168.118,1,15,0
7b660b4814584d4b4283ec93dcfdd5a1fd803e168b0a944c3a59ff94b05486c9,2025-08-16T09:02:04,bc1XgtfZUytJ3t915ZZ4zGJwF6CCVGQGjsM48ZGHS,bc1PYzwipMLpdCfFKoVVGharVUz4h7egzYDv7HH2s,0.13322115,0.00157291,1,1,893686,185.130.173.43,1,2,0
13389d0167b572b89596443f8a9abec404d203175cba64e349f328a2d5a8410c,2025-06-03T20:51:29,bc1bDkQunwGNVLuwCSaAEbQeUPz6dvynAbAsytbXa,bc1LsZUXgKEDBQV8awWiNeEGaamRZn7uTi5VELPcm,1.07855015,0.00368747,1,2,891317,205.13.196.90,0,7,0
eb07f57a9ee375a1adcdba24ba4bd4e272e9874a83e832793c36565bb069d227,2025-11-14T04:08:11,bc1vZVjrXgadcXPFsymXRprtYahNzADYdiqK39oy6,bc1jpAhWgNE1LsBh7rGh3UpabNnRD97kVuedck888,0.04820331,0.00320082,1,15,873338,150.218.29.172,1,26,0
