wallet_address,entity_id,risk_flag,risk_reason,anomaly_score,cluster_label
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_FAN_IN_DST,entity_fan_in_adversary,HIGH,Outlier cluster + high anomaly score,-0.1552501499037633,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_FAN_OUT_SRC,entity_fan_out_adversary,HIGH,Outlier cluster + high anomaly score,-0.15400264961618015,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa032,entity_2,HIGH,Outlier cluster + high anomaly score,-0.004010243294155669,-1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_0,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,-0.03345543907154436,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa039,entity_4,MEDIUM,High anomaly score only,-0.03197063438796366,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_8,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,-0.024502561676847945,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa081,entity_2,MEDIUM,High anomaly score only,-0.014006202858975025,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa087,entity_18,MEDIUM,High anomaly score only,0.0,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_7,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.014729005924572158,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa023,entity_14,MEDIUM,High anomaly score only,0.019560896728209043,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa073,entity_46,MEDIUM,High anomaly score only,0.025337627756814918,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_1,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.02753861752423281,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa098,entity_9,MEDIUM,High anomaly score only,0.035861173704905824,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa002,entity_6,MEDIUM,High anomaly score only,0.04097272476045555,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa049,entity_34,MEDIUM,High anomaly score only,0.04103290139084581,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa047,entity_13,MEDIUM,High anomaly score only,0.04455445934382607,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa095,entity_23,MEDIUM,High anomaly score only,0.04752986324351638,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_6,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.047968512182005374,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_2,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.04958914977257722,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa052,entity_44,MEDIUM,High anomaly score only,0.0514824917211083,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa015,entity_37,MEDIUM,High anomaly score only,0.051503975275108416,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_4,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.053697861005707725,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa078,entity_5,MEDIUM,High anomaly score only,0.05570305028436007,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_5,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.0577934329886679,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa_CHAIN_3,entity_rapid_chain_adversary,MEDIUM,High anomaly score only,0.05988040019279128,1
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa096,entity_23,MEDIUM,High anomaly score only,0.06470881166348463,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa016,entity_46,MEDIUM,High anomaly score only,0.06485131461105653,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa054,entity_18,MEDIUM,High anomaly score only,0.07159157644232567,0
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa046,entity_22,MEDIUM,High anomaly score only,0.0725582548517541,0
