feature_set,n_estimators,contamination,max_samples,min_cluster_size,min_samples,precision,recall,f1,tn,fp,fn,tp,detected_anomalies,number_of_clusters,noise_entities
engineered,200,0.03,sqrt,10,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.03,sqrt,15,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.05,sqrt,10,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.05,sqrt,15,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.08,sqrt,10,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.08,sqrt,15,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.1,sqrt,10,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,200,0.1,sqrt,15,10,0.9782608695652174,0.5625,0.7142857142857143,60,1,35,45,37,3,14
engineered,100,0.03,sqrt,10,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.03,sqrt,15,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.05,sqrt,10,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.05,sqrt,15,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.08,sqrt,10,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.08,sqrt,15,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.1,sqrt,10,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,100,0.1,sqrt,15,10,1.0,0.55,0.7096774193548387,61,0,36,44,33,3,14
engineered,200,0.03,sqrt,10,5,0.9777777777777777,0.55,0.704,60,1,36,44,37,3,13
engineered,200,0.03,sqrt,15,5,0.9777777777777777,0.55,0.704,60,1,36,44,37,3,13
engineered,200,0.05,sqrt,10,5,0.9777777777777777,0.55,0.704,60,1,36,44,37,3,13
engineered,200,0.05,sqrt,15,5,0.9777777777777777,0.55,0.704,60,1,36,44,37,3,13
engineered,200,0.08,sqrt,10,5,0.9777777777777777,0.55,0.704,60,1,36,44,37,3,13
