txid,timestamp,input_address,output_address,amount_btc,fee_btc,num_inputs,num_outputs,block_height,ip_address,is_new_address_out,tx_per_hour_sender,is_illicit
1bf879e58b9a170520a6d1fde6d389f472abe9987e75d2fc3d33ed3ceef27e22,2025-12-14T19:28:20,bc1KYKYjTvE4hjvm6ogZxGEbrZG2VQt2ZARTX9gKz,bc1Bbaf4Dnys9ENwNeCJUAHRYzDWi7gb71ZQCu94L,2.32092329,0.00255182,1,2,872003,83.22.211.14,0,6,0
9ddcadfc846b7653faf0da737bbbea8bf565654ffc11d6dea53ffc30fc4d78d6,2025-08-25T08:36:13,bc1BsJAJNMwBjaJLwwn7mfrJuS94LDuXPo3UqqFD7,bc1Rp4Nsj51e5Ak5GHYxYgJcGspU9ehGtpLZZpjtP,1.51724705,0.01822745,1,1,882389,13.142.198.235,0,1,0
f8bd8d244ae872e341c03a5cfdf9af041fc93973e5f6d4dee93d6c3d08f523b0,2025-08-24T04:14:57,bc1grJkGbcK4WDhu3nhYhxXroyYMLdFJRMW15BNHv,bc17PaH9a8iefHzuXS14jM1xB32Q2r2rTW5A2u1TU,1.59116632,0.00313329,1,1,881624,4.90.231.12,1,3,1
1c2879ef2b114ffcdd8d2b4fde16ece736d9823e175c1bba048c4d476c156475,2025-07-12T15:32:48,bc1pBtrscWroxU4keATzddQCcdKNzh2FCM8cRrYE5,bc11xAB2Ek9RXF9vZX1qiTSmuN9Ud9Zr983qsmv9V,0.52785075,0.00118194,1,1,889134,225.73.239.180,1,5,0
686e106e1f0e0d1d0e61ffa6855d7fdc9ea59f54fd6cf34f273a7b3eaf0bd299,2025-08-03T15:51:09,bc1WTF18wHiSzXjbmbiWsVv8Ee4qMHTjUxdLD2Rzw,bc1akzp2XVN39covDPXraTdTqWPfwkgPJKpQDzTvm,5.65268436,0.33931132,12,1,877344,39.205.129.48,1,34,0
5c6d62e6739fd1a09fd451c0a6144a1ca67db1efc693ac95e40705cd2710fc00,2025-05-15T00:00:21,bc1iVMDFXVBvuECEWjJVVy5DkLW3sMB8cWvor6N1j,bc1huajaWtiXcfskbz5fX6F4CHSSXXPcjBwtZbg2T,2.46894941,0.01974949,1,1,872056,18.9.14.101,0,0,0
76932cc62437694923709a05311707e05b3a4cec5b07d8e502fc25c720ad9e98,2025-08-14T01:39:27,bc1jwYx6fk6bnPgHTzVLZRGghXV62tpRvUZ9FNNFu,bc1xVCwwCrrMTTN9zujnPJPk7MdhUb1t5tcF3MCJi,1.6126932,0.00157269,2,2,877581,68.72.141.4,1,1,0
9d6db67fe18efd95ab61e9b3efc7d6271a736f78d70e58ee4010a2f8bca80d85,2025-06-25T08:17:31,bc1Yem76BvwzrghG5ijBZwJxukusRdDuJN52d5zAu,bc1M3wxPmgxemZVKHeJHd8jnbTn9TBpxvTvnPjTiX,0.7350568,0.00395906,1,1,872620,107.197.139.146,1,6,0
9eb3fa7819ae7834444068b29062b67847218b3f9bf3c116a0bb0451acb79474,2025-12-19T11:04:08,bc1nWoccYQDSTp2EJkjet2TPiAyTjAJLMKrNQ5A7x,bc1j4pZB41MBUo8XjX2gtLDrGmMqrqtAeJcw9dBqV,3.13200898,0.0139038,1,2,875241,243.138.26.249,0,5,0
929f6a70bfaad340f16e9912d4736cafdf25cff9b6a6aff9068e617aad6150d9,2025-10-30T23:36:42,bc1xMzATSo8Yrr6C2xYrhkiZE4ifSDjPJMZYrM5tH,bc1iHQrsLfNJftHte3XZCXof3uFtEfPcMW8mXj6qQ,5.31421596,0.17912968,20,1,886645,183.22.66.20,1,19,1
a94013adf82f3c190bca1a9a7743f6e8b534ab734ff70afa86b56b69ead31a44,2025-07-22T20:34:14,bc13k4R2Xci7Ku3erMhcYgTxNge5ekUGak5jYGu8T,bc1JRqbdHNccooEqHA2Z3WqqkcwyLH2wxEEb9Tsk4,2.98340839,0.02906724,2,2,878015,126.4.141.242,1,7,0
8a419ff269493aad2268adde6c10ae9e4d8bbd967b020569115e9afcb1fa0abc,2025-05-23T16:08:53,bc1nWA6Afn3G3caBwPi1JzDxpHxMzNhX9fo6GBK3M,bc1mMjjCiWyZKU79QSs4iXH9LX9gaMmVgQVKrxaCG,1.11575928,0.00102217,2,2,883323,126.12.168.133,0,1,0
616b25386a5ca0849d43c7ad0491e1595990e2c1f10550882a6e9b918d356a4d,2025-12-19T03:31:38,bc1YEhp77WZEZfKZWbTjsw5HMHCFDavnbeuZ72Y1N,bc1MHDYjsLTSRwL9eaGizusgcFL3EcMxF6GUSkos1,0.09000065,0.00128324,3,2,878204,128.142.19.156,0,0,0
34c1f1f6b3764878de8122e6870660b5e5f02520393e26be2c60488d974e8138,2025-02-15T05:09:44,bc1fdSD6ifZA9urSjJr8R9eNEomhpPGaZnNCR8Veu,bc1r1RG7wjfL2h4boqS43j8dZ7sKrWxvoawR1u8aY,3.03874438,0.03378306,1,1,888452,198.142.94.202,0,1,0
c0d1ba18cd6b74a64ed386a0dc027246f57f95d45853f137b27043af5ad0607c,2025-02-10T09:31:16,bc16Frrbw6iow4tmLAZLtRytbVRWeuypLQuv7KYv8,bc1BGiqioL5kFimbevqYeSfo7JCsN4szYjunDiSPr,0.01660117,0.00014429,3,1,896535,237.154.135.126,1,7,0
c526d3250637c3c02eb8b2885414200e65e64b3e6e386b2d0eb776af2a9f33bd,2025-06-04T11:03:49,bc1kaBpxh3k2RpbPJLxGLvS2dphvtqUTUf4uSJYuC,bc1v2frqsXQor11KuqM9bWBWa8XcSKHA98DVeWWys,0.80611883,0.0048279,1,1,893074,177.209.80.120,0,6,0
1de6474c4dfc2f38ea66dc138af7c9f68c940ac271a2caad1f419fcbd50ab9e2,2025-08-02T13:05:07,bc1k6LQDmxbRh6sBnPyJGhoLSeNqCyJ5G3odNXk1p,bc1DRtHLVeHXEbFyxtjWpVpZo7FsrEgrCf79hLPtw,0.01732647,0.00065381,8,5,892094,37.25.85.62,1,23,0
57c6debb18954781d13ffc557cd06e4b157f3a135b8f8ab08f64ccd2f18b4f98,2025-06-25T22:12:26,bc1Mj7saQvn1WTGGb2GFbcnc8cRRUfB1cDUKNjhLU,bc1PnGzUwdbmRQWUBLdkfCi5dZh2z8d6CVQ3oPFEx,0.89572881,0.05207934,2,10,885805,56.110.203.224,1,4,0
20415e66e3b830a4d0609fa90491ed93f986c00ea163a124c8aa1243784d4f12,2025-02-17T04:47:51,bc1wCLgD7EkxifvaYCVD3MdmXa6LSRRCNqTW2D829,bc1n5tPx4kn3MnNFUDAaU9KMNsufKT7cQeiSfURzB,0.2111669,0.00052698,3,1,874869,234.87.7.98,0,4,0
29e5fb97f283676076fd60e3f4a8b826f46a5d7e4088ff35442d6b75b684395e,2025-11-17T21:25:56,bc1zHykB7e694oYEg4BCzFMf2CLaHcaM3bMkY5Txt,bc1YiSDubFtVFv262Q3PeSGkfjkEExpPMALoUBMsG,0.96233849,0.00362767,2,1,887191,8.48.104.226,0,6,0
dfdd12d90227e71da0af6f7306895e0ed4d8bba361f524aed12ac0fe305013e0,2025-10-21T23:35:03,bc1Z6MzDmqAyTrZhXFCZeWdJDuiodYE5A3cfAjBus,bc1Eeb9p16FK5uZUwRG3UnmVr7QcNUEN9fb1Uctgr,0.02277048,0.00126957,8,1,881491,39.205.129.48,1,11,1
7f41c29d5524d527947ecdd6477b69b7405b637f50b18f7f9d738d1c37f7ff10,2025-10-12T09:34:10,bc14eynHmbyQzcd8eaFFtxyeZUXkdoALKJpFD7XEv,bc19gsAg6TcwnfZh8AeFPEMQonGwVBUPR3bZSUWW9,0.2790886,0.00157252,1,1,897700,49.239.55.149,0,8,0
bc8fd04f99946a4ea2bd08871c6d70a89f77ebdd13f754d567c216e1238e0155,2025-06-15T17:37:57,bc1F8E9DjwLPyKJwioShTpsMKMT1XdJ8HGVAsyZUq,bc1bcR5ZpRUkYUgF3ihAC3DfcZbodgec1bgo53aTp,2.45050255,0.01088031,3,1,883562,203.143.221.99,0,1,0
6c4cb0e03f9b098545b150948625ecf7b6177cecc89c328f7f6434a13bdc4b41,2025-05-22T05:03:03,bc1hogXBqHEK18tzZX5aQY3xnX142rFWRZFK6opzY,bc1EUTjdLp34wEVrT7tofwxXRvKzh9ix7sjC5D8qd,1.93572466,0.02299607,1,1,891930,61.79.111.22,0,1,0
8fd33b6a47631efe388cac861c826e2d66ef00324074e2d45362b02348b47ba2,2025-07-31T21:29:51,bc1VmPziBk5GiCcT9AfVmMr3M99VDfoZ56JxRkYyG,bc1odMVZBANxnoEGZBxmCPc4hN5KoYmbSzPSVbQf4,1.4133547,0.00359234,3,1,884871,174.92.228.5,0,5,0
cd4787fd53e4f6653ee80a931d8368b25de8d33efeca0d01a697b48545b8e712,2025-12-03T15:56:40,bc1RweMhEhYdBoGJtdewoCXyLNiDL6gNAPwYMzxX1,bc1Egq5XiFXihHzqG7LPv3TcR2bXhqyHzKxG3FCaA,1.88263412,0.01174747,2,1,887768,0.200.122.88,1,1,0
