txid,timestamp,input_address,output_address,amount_btc,fee_btc,num_inputs,num_outputs,block_height,ip_address,is_new_address_out,tx_per_hour_sender,is_illicit
7ebd8b9d512138174118350e3bdf3279c784569bfdbd42a91312f0290b7d94ed,2025-01-27T14:07:22,bc11g7RzsutVNSUvikzYbcyPxB1xdF43VZkFtf3LD,bc1DYvwCGwdzdgXV2t6hheYmuXHpiMwzDeWn2ToJQ,0.78040502,0.00211514,2,2,890112,177.235.134.147,0,1,0
a5a78d0b23f65f6a67006bcda3ac71c062903a10cc779fb9f2979510da1ceaf9,2025-02-02T15:20:25,bc18xPm1vBQWd79ef8WmWKfiExqc7Vxj5G2VQGfuo,bc1CLPsvZhNWZ7tt9dKCnSsJWx8anpDfnZ2bRutuh,2.81618337,0.02808269,3,2,893192,165.87.69.124,0,1,0
785943a5e75a0cf8139e30eabd0e402e4ab1f8844783c4625a91ba62067e055e,2025-06-08T07:57:31,bc1Nqihn1g2J1qJ1hoMN8KFF4y6Vywfe42cxGUqgM,bc1kGCpmj8eELyd7B2pUtYcRXADsRFNt1iXNyBcz6,2.36729364,0.0249572,1,1,878136,35.125.102.237,1,5,0
29479f0fb417cfcf9397acc6c38235ceefcc86c68cdbe28bf47f32b929b1d29a,2025-08-29T12:34:00,bc1HuD1iToQnbQajNQbL3pESthapjEuA4qifw6FVH,bc1wzV4aoqmxcFDowGpYAYXKW6NkGgAKpMQKT7yXt,1.12555429,0.01712834,1,1,878426,26.63.20.138,1,3,0
f384d70dfab4a4679c554abfbd26dbdfa613bb788f900051409c568b1b4c8878,2025-11-29T04:54:48,bc1PAiihqAGm27JdGA6gypMZKkW7BkcFfbrPimv35,bc1ivt34f35cHaUKCLGNazEGtAzmYc5iFXNBY599Y,1.87920837,0.01537604,2,2,878196,76.19.9.160,1,3,0
70436220bcb7540ff8b899c8ea100cd1d05f4da81368d6d00c731b1bc822671e,2025-08-26T10:27:25,bc1gABgYrCKw1RK9TVJSouEYmgSotkiJ5Z5EHKdoj,bc1ugReRKHRmK9H831WhCQVmh57qkwhRqVb6mS3cz,1.34692534,0.00410223,1,1,890086,255.33.135.102,1,2,0
d718c929255e1f0a6c22608ffbac3f4925cbef7987df1f19f2c2da2c33e645e4,2025-01-28T11:34:23,bc1Jh2wTNidGYEezvbYJuW1wHZpEMefoFHUcjbdBk,bc1FPGDp2uN1yWAtkU1sPxpQsWX2b3A1JM7CVWbE3,0.87861465,0.00345152,1,1,886314,118.86.182.54,0,6,0
71963bcf4a0bb3dcc2e969bcf5df1a2b3a09e36db207d8d363614385ae2c505a,2025-03-24T13:31:27,bc1n1WXt9EapVAJ3NPETEiF5CHWRhRgudge5cUVFX,bc1VLgfmTXPb1Rn9JD51Duh7Zo5AbPfRrniJRZKxS,0.04525837,0.00333439,2,1,891237,122.37.246.198,1,10,0
9e0d5d3abbf58588e8369b9dd1965c826d088ca582a9227dbd9c93b0a84a0441,2025-01-17T06:42:31,bc1s2pmLWxk49GTAQknFpAQutCmpCXV7Gbsz6f3xz,bc1CK2roJWPkGobs4wBcYjR377FLMAMAzzjcCKUns,0.86420919,0.03549791,1,1,878705,144.225.248.1,1,20,1
362e97a8306c891d57d339fa4bba7fef80634e80ebbecdd780cada99a33e54a1,2025-05-03T17:16:06,bc1C7MfnfQbEmq8GxscDiZPLzisPxTqj4ZRAQZXEX,bc1kG1PLUfc9jcHGbNRbawAFsCwC2H9hG8sbu41cE,5.59765129,0.1401226,12,25,877574,7.160.202.110,1,19,1
2383234ec7016b175ee0636e430df7eb6436321b815731c0c3e410c282fd79fd,2025-04-17T11:27:36,bc1YPieukayP9Sa2c94i51sjZCr3vbqnbM4VYK7Ni,bc18yTbf7Sz3h9e2ZLU3KsqbSdNSDYVqZeccdNFiS,0.03208961,0.0011753,12,5,895932,57.36.86.222,1,35,1
e4f564e36a7a2ffda7cea268a0bbfd22068d1ea901c9c760c213a4374b05e9ac,2025-01-29T23:47:06,bc1S6hgJzzMcwfxGRViZD3DChJix6AXHRZX5NdUXa,bc11jg2WFwVusBBCdscWzDrGCYZqPhMSpTThtppZg,2.92296033,0.03667641,1,1,880289,104.66.122.248,0,2,0
109afe5f01c410ae1529842c2c77a1a21f8e226e81e06ddc69076142209856b1,2025-07-13T14:07:38,bc1SRiBZyGWNA7RFAxLpCWCvf9LcHD9XVwz3FDazg,bc1Sgy6CcCQD4RUAKKDGsdbji9ZJBQrRntnD6kKoh,0.95560204,0.05100871,8,10,883742,43.89.91.53,1,32,0
6174060439efdf2a17165120ecc4f3840957174e46ccec55fabc284d8235c253,2025-01-15T08:29:33,bc1m4PryzGNypvMtR3cvd8t2gVo4aLkZXn1rUd9Pv,bc1HsspcqxQXfgZJBNcmSAwsSkAeLHnvagAeXjNW9,2.69615608,0.0267667,1,2,897970,200.232.8.169,1,3,0
931954602647e2a10c31779274235fab2ee40b2f74cb94d301848f8f5f5246ff,2025-03-03T22:13:30,bc1h8VNfrkkKuwbD78AyjXk3NR8ThuRL1Bcd6KDSq,bc1b1z9cewz9Kct51KGiBszNNbGLYeyGAETTA9TsV,0.00557842,0.00027238,8,5,890122,96.79.118.177,1,34,0
f7fbd567890b0cd9d1547be7c7f21e98c237226de4ce3a481a08c90a0c3f0cc8,2025-02-13T19:25:30,bc1edbYw39yRUDErstytTYApUAVPie56qb54MJLro,bc1h4eKcAh8SAJj6VfnoPEs5W7GhSw5L3db7J89CV,0.01099755,0.00088116,2,5,891228,172.240.166.101,1,39,0
